,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value,Goals Against,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,PSxG,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Throws Attempted,Launch%,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
1281,Daniel Wass,0.11,0.03,0.08,0.03,0.03,0.28,0.00,0.11,0.09,0.06,0.15,1.19,0.33,27.9%,0.07,0.25,22.60,0.14,0.08,0.00,-0.01,35.23,45.10,78.1%,639.48,214.26,15.08,17.85,84.5%,14.75,17.52,84.2%,4.38,7.76,56.4%,1.11,3.66,0.72,0.17,3.99,40.86,4.24,1.86,0.03,6.24,1.25,1.30,0.47,0.11,0.22,0.03,28.16,7.79,9.15,3.58,35.95,2.74,1.41,0.22,0.11,0.80,1.19,1.11,1.83,1.39,0.28,0.06,0.03,0.08,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,1.72,1.14,0.69,0.97,0.06,0.39,1.28,30.4%,0.89,12.14,3.10,25.6%,3.85,6.29,2.00,1.39,0.28,0.00,0.86,2.58,1.52,0.00,53.77,2.80,11.67,30.71,14.14,1.39,49.56,0.36,0.50,72.2%,0.36,0.03,28.94,137.09,71.26,3.05,1.22,0.17,0.67,0.55,39.17,33.98,86.8%,2.30,0.00,1.58,1.14,0.17,0.00,0.00,0.00,8.84,1.61,1.83,46.8%,€7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Daniele Baselli,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.10,0.10,0.10,0.20,0.83,0.33,40.0%,0.00,0.00,20.30,0.33,0.11,-0.10,-0.10,38.57,51.43,75.0%,764.08,243.78,15.19,19.37,78.4%,15.19,19.20,79.1%,6.85,9.85,69.5%,1.67,4.68,0.67,0.00,4.68,46.75,4.68,2.00,0.00,6.85,2.84,0.83,2.34,0.33,1.34,0.50,32.23,7.68,11.52,4.68,40.58,3.84,0.00,0.67,0.67,0.67,1.67,1.00,2.50,1.50,0.83,0.00,0.00,0.00,0.17,0.17,0.17,0.00,0.00,0.00,0.00,0.00,2.17,1.67,0.50,1.00,0.67,1.00,2.34,42.9%,1.34,22.71,7.51,33.1%,9.02,9.52,4.17,1.00,0.00,0.00,1.67,3.84,1.50,0.00,61.45,2.17,14.36,35.73,14.69,1.17,56.44,0.83,1.17,71.4%,0.83,0.00,34.23,196.70,96.01,4.51,1.17,0.17,1.00,0.33,42.41,36.73,86.6%,2.50,0.00,2.00,1.84,0.17,0.00,0.00,0.00,12.36,2.00,2.84,41.4%,€3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,Daniele Bonera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,Daniele De Rossi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1285,Daniele Dessena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€450Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286,Daniele Gasparetto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€50Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,Daniele Gastaldello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,Daniele Padelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Jun 3, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,Daniele Ragatzu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€400Th. Last update: Jun 21, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,Daniele Rugani,0.08,0.08,0.08,0.00,0.00,0.23,0.00,0.04,0.04,0.03,0.07,0.38,0.15,40.0%,0.20,0.50,7.80,0.00,0.09,+0.04,+0.04,37.75,46.06,82.0%,709.96,224.70,13.21,15.33,86.2%,20.54,22.73,90.4%,3.78,7.10,53.2%,0.08,1.96,0.15,0.00,2.27,44.40,1.66,1.43,0.00,5.36,0.30,0.30,0.00,0.00,0.00,0.00,33.75,4.00,8.31,7.40,33.52,2.72,0.23,0.23,0.08,1.06,0.76,1.06,0.30,0.23,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,0.00,0.00,0.00,2.34,1.13,0.83,1.28,0.23,0.60,1.36,44.4%,0.76,14.27,4.53,31.7%,5.96,7.63,0.68,2.04,0.98,0.00,1.28,3.62,4.83,0.00,56.78,7.55,26.35,28.99,4.45,1.06,55.27,0.23,0.23,100.0%,0.23,0.00,33.07,143.31,66.07,1.66,0.60,0.00,0.15,0.45,34.51,33.90,98.2%,0.30,0.00,1.89,0.30,0.00,0.00,0.00,0.00,10.12,3.55,1.66,68.1%,€5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Daniele Verde,0.51,0.13,0.51,0.00,0.00,0.00,0.00,0.28,0.28,0.18,0.46,3.15,1.67,53.1%,0.16,0.31,20.20,0.19,0.09,+0.24,+0.24,30.26,41.18,73.5%,596.27,148.27,13.49,16.45,82.0%,11.43,14.45,79.1%,4.95,9.19,53.8%,1.41,1.93,1.35,0.26,3.66,36.10,5.07,0.96,0.19,4.82,3.02,2.70,2.63,1.03,0.77,0.06,24.73,7.19,9.25,33.92,4.37,1.16,1.41,0.26,0.19,0.64,1.61,0.77,2.63,1.86,0.32,0.26,0.19,0.00,0.00,0.26,0.13,0.00,0.00,0.13,0.00,0.00,0.51,0.19,0.13,0.19,0.19,0.26,0.84,30.8%,0.58,8.61,2.18,25.4%,1.41,3.60,3.60,0.84,0.06,0.00,0.64,1.16,0.58,0.00,49.98,1.03,6.30,21.46,25.63,3.79,44.78,0.51,1.16,44.4%,0.51,0.26,33.66,220.66,101.95,7.00,1.54,1.28,0.77,0.84,45.29,36.17,79.9%,4.56,0.00,0.19,0.71,0.13,0.00,0.00,0.00,5.01,0.06,0.06,50.0%,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,Danijel MiliÄeviÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Danijel PetkoviÄ,,,,,0.40,,,,,,,,,,,,,,,,,,20.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€700Th. Last update: Jun 4, 2021",1.40,4.20,3.00,71.4%,0.40,0.40,0.20,0.20,20.0%,0.20,0.20,0.00,50.0%,0.00,0.00,0.00,1.58,0.33,+0.18,3.20,9.20,34.8%,5.40,29.8%,32.8,6.60,45.5%,38.5,8.40,0.40,4.8%,0.80,12.5
1294,Danijel SubaÅ¡iÄ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Apr 9, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Danilo,0.03,0.11,0.03,0.00,0.00,0.27,0.00,0.03,0.03,0.09,0.12,0.50,0.08,15.8%,0.05,0.33,23.60,0.00,0.06,-0.01,-0.01,63.03,71.89,87.7%,1269.63,404.42,21.24,22.86,92.9%,32.43,35.48,91.4%,8.86,12.28,72.1%,0.82,6.28,0.77,0.21,5.04,65.50,6.39,1.35,0.11,6.13,1.35,0.85,0.05,0.03,0.00,0.00,52.88,10.00,9.02,7.58,56.99,1.51,4.96,0.34,0.34,0.85,1.64,1.25,1.80,1.70,0.05,0.03,0.00,0.03,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,1.78,0.93,1.06,0.48,0.24,0.69,1.51,45.6%,0.82,7.40,2.04,27.6%,3.74,2.49,1.17,1.62,0.37,0.00,1.49,3.26,2.89,0.00,80.69,5.01,27.66,45.03,12.28,0.72,74.62,0.53,0.74,71.4%,0.53,0.03,53.78,240.09,133.09,5.14,1.14,0.19,0.40,0.42,59.24,57.57,97.2%,0.95,0.00,1.17,0.61,0.03,0.00,0.03,0.00,8.14,1.22,0.56,68.7%,€20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Danilo Avelar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,Danilo Barbosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,Danilo Cataldi,0.07,0.00,0.07,0.00,0.00,0.46,0.00,0.03,0.03,0.06,0.09,0.59,0.13,22.2%,0.11,0.50,21.00,0.07,0.06,+0.03,+0.03,59.50,69.29,85.9%,1075.86,316.54,25.97,27.68,93.8%,25.77,28.93,89.1%,6.57,11.04,59.5%,0.79,5.39,0.99,0.07,5.00,64.36,4.93,2.70,0.00,6.90,2.37,0.92,2.04,1.12,0.79,0.00,52.13,6.57,10.58,14.73,52.72,1.25,0.07,0.26,0.26,0.85,1.38,1.12,1.78,1.05,0.66,0.07,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,2.24,1.25,0.85,1.18,0.20,0.53,2.70,19.5%,2.17,19.59,4.47,22.8%,5.92,11.18,2.50,1.38,0.26,0.00,1.45,3.68,0.66,0.00,76.72,2.83,19.13,46.74,14.33,0.46,71.92,0.99,1.12,88.2%,1.05,0.00,49.11,204.92,85.40,3.09,0.99,0.07,0.46,0.39,56.87,54.83,96.4%,0.99,0.00,1.31,0.66,0.00,0.00,0.13,0.00,9.34,0.26,0.39,40.0%,€2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,Danilo D'Ambrosio,0.24,0.00,0.24,0.00,0.00,0.24,0.00,0.11,0.11,0.00,0.11,0.95,0.71,75.0%,0.25,0.33,9.80,0.00,0.11,+0.13,+0.13,60.71,66.40,91.4%,1184.11,334.74,24.19,24.90,97.1%,28.34,30.47,93.0%,7.83,9.49,82.5%,0.12,2.61,0.59,0.12,2.49,62.96,3.44,1.78,0.00,6.17,2.37,1.19,0.00,0.00,0.00,0.00,51.70,7.71,7.00,16.72,45.77,1.19,1.66,0.36,0.12,0.59,0.59,0.83,1.19,0.95,0.00,0.12,0.12,0.00,0.00,0.24,0.24,0.00,0.00,0.00,0.00,0.00,1.07,0.71,0.59,0.47,0.00,0.24,1.19,20.0%,0.95,9.84,2.96,30.1%,3.44,4.15,2.25,2.25,1.42,0.12,0.83,1.90,2.02,0.00,74.70,9.01,35.81,34.27,7.35,1.30,71.38,0.24,0.24,100.0%,0.24,0.00,53.48,231.70,124.51,2.73,0.36,0.00,0.95,0.12,61.19,58.10,95.0%,0.95,0.00,1.42,0.71,0.00,0.00,0.00,0.00,6.28,1.66,1.07,60.9%,€5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,Danilo Larangeira,0.00,0.04,0.00,0.00,0.00,0.16,0.00,0.02,0.02,0.03,0.05,0.36,0.04,11.1%,0.00,0.00,13.60,0.00,0.06,-0.02,-0.02,39.64,49.32,80.4%,981.20,356.56,8.28,9.28,89.2%,20.88,23.20,90.0%,10.32,16.24,63.5%,0.16,2.72,0.16,0.00,2.92,45.88,3.44,3.36,0.12,4.72,1.88,0.04,0.00,0.00,0.00,0.00,29.12,5.20,15.00,2.76,42.56,2.52,0.08,0.08,0.28,0.76,0.68,1.32,0.28,0.24,0.00,0.00,0.04,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,1.16,0.48,0.88,0.28,0.00,0.20,0.76,26.3%,0.56,9.36,2.76,29.5%,5.88,3.28,0.20,2.40,1.08,0.04,1.52,2.68,4.96,0.12,59.48,13.64,33.80,27.96,1.08,0.52,56.08,0.08,0.12,66.7%,0.08,0.00,31.72,179.28,106.68,1.28,0.20,0.00,0.04,0.04,36.88,36.16,98.0%,0.08,0.00,1.08,0.56,0.04,0.00,0.08,0.00,8.88,2.72,1.88,59.1%,"€600Th. Last update: Jun 3, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Danilo Pereira,0.11,0.04,0.11,0.00,0.00,0.19,0.00,0.09,0.09,0.01,0.10,0.67,0.19,27.8%,0.17,0.60,11.70,0.00,0.13,+0.03,+0.03,64.52,69.30,93.1%,1189.67,299.48,25.41,26.67,95.3%,30.93,32.52,95.1%,7.04,8.41,83.7%,0.19,4.63,0.15,0.04,2.59,68.19,1.11,1.07,0.00,9.96,0.93,0.04,0.00,0.00,0.00,0.00,60.22,4.63,4.44,3.74,62.85,1.48,0.04,0.11,0.00,0.44,1.00,0.81,0.78,0.59,0.00,0.00,0.00,0.07,0.11,0.11,0.11,0.00,0.00,0.00,0.00,0.00,1.59,0.96,0.56,0.85,0.19,0.48,1.30,37.1%,0.81,11.56,3.81,33.0%,4.07,6.15,1.33,1.41,0.59,0.00,2.15,3.74,2.89,0.00,78.96,6.11,24.41,52.59,6.00,0.74,78.00,0.44,0.63,70.6%,0.44,0.04,56.44,253.96,123.33,3.48,0.74,0.00,0.26,0.52,61.81,59.89,96.9%,0.41,0.00,0.78,0.93,0.04,0.00,0.04,0.00,8.78,2.04,1.11,64.7%,€16.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,Danilo Soares,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.01,0.04,0.06,0.43,0.00,0.0%,0.00,,24.60,0.07,0.04,-0.01,-0.01,42.50,58.36,72.8%,821.00,317.00,16.71,19.79,84.5%,19.07,24.71,77.2%,6.07,11.36,53.5%,0.64,3.50,0.57,0.14,3.36,43.86,14.50,1.50,0.00,7.79,0.36,1.43,0.07,0.00,0.00,0.00,29.57,13.00,15.79,28.71,12.50,2.64,12.93,0.36,0.29,1.64,2.29,2.43,1.57,1.07,0.21,0.07,0.00,0.07,0.14,0.07,0.00,0.00,0.00,0.00,0.07,0.00,4.43,2.43,2.43,1.50,0.50,2.00,3.57,56.0%,1.57,15.50,5.43,35.0%,7.71,5.64,2.14,2.50,0.07,0.07,4.00,8.43,3.43,0.00,74.21,5.00,25.93,35.50,18.07,0.43,59.93,1.43,2.50,57.1%,1.64,0.21,38.14,220.07,117.00,5.93,2.29,0.21,0.79,0.71,34.79,32.14,92.4%,0.79,0.00,1.79,1.36,0.00,0.00,0.07,0.00,11.57,2.14,1.29,62.5%,€1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,Danilo Soddimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€75Th. Last update: Jun 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,Danny Blum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,Danny da Costa,0.00,0.06,0.00,0.00,0.00,0.17,0.00,0.01,0.01,0.09,0.11,0.33,0.06,16.7%,0.00,0.00,26.10,0.00,0.04,-0.01,-0.01,25.71,41.07,62.6%,544.92,293.11,8.40,10.95,76.8%,12.77,19.18,66.6%,4.48,9.51,47.1%,0.83,2.21,1.22,0.39,4.59,30.96,10.12,0.33,0.00,5.20,0.61,2.16,0.00,0.00,0.00,0.00,17.75,9.23,14.10,4.64,23.94,1.93,9.79,0.11,0.00,1.00,2.05,1.11,1.27,1.00,0.00,0.17,0.00,0.06,0.06,0.17,0.11,0.00,0.06,0.00,0.00,0.00,1.82,0.77,0.94,0.44,0.44,0.72,1.93,37.1%,1.22,13.54,3.54,26.1%,6.25,4.64,2.65,1.33,0.22,0.00,1.93,3.76,3.26,0.00,52.02,2.60,16.53,22.44,16.20,1.22,41.96,1.22,1.71,71.0%,1.27,0.11,25.54,145.56,76.35,3.43,1.33,0.39,1.05,0.44,27.59,23.66,85.8%,1.11,0.00,0.50,0.39,0.06,0.00,0.00,0.00,8.62,1.66,0.55,75.0%,€4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,Danny Drinkwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,Danny Ings,0.35,0.15,0.31,0.04,0.04,0.08,0.00,0.27,0.24,0.09,0.32,1.97,0.77,39.2%,0.16,0.40,14.20,0.00,0.12,+0.08,+0.07,12.69,19.11,66.4%,194.04,55.73,7.50,9.71,77.3%,3.83,5.76,66.4%,0.97,2.13,45.5%,0.66,1.16,0.62,0.19,1.78,18.26,0.85,0.04,0.08,4.53,0.50,1.08,0.00,0.00,0.00,0.00,11.68,3.91,3.52,2.44,14.54,1.12,0.12,0.31,0.12,0.54,0.81,1.28,1.90,1.32,0.00,0.35,0.19,0.04,0.00,0.43,0.27,0.00,0.08,0.08,0.00,0.00,1.01,0.54,0.19,0.66,0.15,0.43,1.35,31.4%,0.93,16.05,3.25,20.2%,2.44,6.34,7.27,1.47,0.19,0.00,0.62,1.62,0.66,0.04,30.21,0.97,3.21,13.58,15.12,5.34,29.32,1.20,2.13,56.4%,1.28,0.15,19.14,80.52,36.51,2.20,0.81,0.46,2.48,1.16,39.49,20.31,51.4%,5.53,0.00,0.85,0.73,0.81,0.00,0.04,0.00,4.18,0.85,2.51,25.3%,€22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,Danny Latza,0.00,0.15,0.00,0.00,0.00,0.22,0.00,0.13,0.13,0.13,0.28,1.34,0.60,44.4%,0.00,0.00,18.50,0.00,0.10,-0.13,-0.13,23.17,34.72,66.7%,427.95,144.91,10.28,12.81,80.2%,9.09,12.74,71.3%,3.20,6.78,47.3%,1.42,1.79,0.22,0.07,3.05,30.92,3.80,1.79,0.15,7.90,1.04,0.82,1.49,0.52,0.75,0.07,18.85,6.41,9.46,5.22,25.48,2.24,0.30,0.30,0.07,0.97,1.34,2.01,1.94,1.19,0.60,0.07,0.00,0.07,0.00,0.22,0.15,0.00,0.00,0.00,0.07,0.00,2.46,1.56,1.04,0.97,0.45,1.04,3.73,28.0%,2.68,26.90,8.05,29.9%,8.20,13.19,5.51,2.31,0.30,0.00,1.49,3.95,0.89,0.00,46.56,1.42,10.65,22.80,15.12,1.79,42.84,0.82,1.12,73.3%,0.82,0.07,24.36,94.10,37.70,1.56,0.60,0.00,1.34,1.19,32.63,23.10,70.8%,2.68,0.00,1.79,1.71,0.07,0.00,0.00,0.00,10.73,1.34,2.09,39.1%,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Danny Rose,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.03,0.03,0.10,0.13,0.52,0.13,25.0%,0.00,0.00,19.70,0.00,0.04,-0.03,-0.03,28.87,43.24,66.8%,605.31,346.94,10.58,11.89,89.0%,12.67,17.24,73.5%,5.09,11.49,44.3%,0.65,3.14,0.91,0.13,4.18,28.61,14.63,2.35,0.13,3.27,1.83,1.96,1.05,0.65,0.39,0.00,15.41,11.10,16.72,24.69,4.18,2.61,11.23,0.13,0.26,0.65,1.31,1.18,1.44,1.31,0.13,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.00,0.00,0.00,0.00,3.00,1.96,1.96,1.05,0.00,1.57,3.79,41.4%,2.22,10.97,4.44,40.5%,5.75,4.70,0.52,1.96,0.78,0.00,1.96,4.96,1.70,0.00,53.56,4.44,18.03,23.77,14.63,0.52,39.97,1.18,1.96,60.0%,1.18,0.26,22.86,108.94,66.23,3.27,1.05,0.00,0.52,0.78,25.08,22.60,90.1%,0.78,0.00,1.57,2.09,0.00,0.00,0.13,0.00,6.66,0.52,0.91,36.4%,€3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310,Danny Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€300Th. Last update: Nov 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311,Danny Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312,Danny Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
